group_lab,pr_cert,pr_assoc,pr_bach,pr_mastdoct
Straight/Heterosexual,3.1045105,6.3764482,37.593937,52.925102
Gay or Lesbian,2.1995234,4.6490455,31.588211,61.563217
Bisexual/Pansexual/Omnisexual,2.0534415,4.3605285,30.375347,63.210686
Asexual/Aromantic/Demisexual,2.3748233,4.9916625,32.94331,59.690201
Other/Queer/Questioning,2.3555827,4.9542484,32.799652,59.890514
Prefer Not to Say,2.868566,5.9358692,36.246479,54.949085
