group_lab,pr_cert,pr_assoc,pr_bach,pr_mast,pr_doct
Cisgender Man (N=2660),4.0817022,8.0506325,41.856461,30.3473,15.663902
Cisgender Woman (N=4262),2.3959532,4.9814401,32.987995,35.279278,24.355335
Transgender Man (N=58),2.497257,5.1755042,33.718517,35.026928,23.581789
Transgender Woman (N=20),3.8936899,7.7247195,41.148178,30.909691,16.323723
Non-binary (N=267),2.2741442,4.7464027,32.065708,35.560711,25.353033
Gender Diverse/Questioning (N=70),2.6874027,5.5363393,35.006123,34.518822,22.251314
Prefer Not to Say (N=138),3.1784453,6.4478703,37.885662,33.083813,19.404211
