group_lab,pr_cert,pr_assoc,pr_bach,pr_mastdoct
Straight/Heterosexual (N=5154),2.9418561,6.1143718,37.20657,53.737206
Gay or Lesbian (N=328),2.0932202,4.46983,31.218985,62.217964
Bisexual/Pansexual/Omnisexual (N=1129),2.2092628,4.7001386,32.177307,60.913288
Asexual/Aromantic/Demisexual (N=180),2.568156,5.4014468,34.843933,57.186466
Other/Queer/Questioning (N=130),2.535248,5.3378267,34.616749,57.510174
Prefer Not to Say (N=502),2.9536533,6.1365948,37.275082,53.634674
