group_lab,pr_cert,pr_assoc,pr_bach,pr_mast,pr_doct
Straight/Heterosexual,3.2411184,6.604228,37.967392,32.813469,19.373791
Gay or Lesbian,2.3566506,4.9378695,32.469131,35.227234,25.009119
Bisexual/Pansexual/Omnisexual,2.0672677,4.3715115,30.164003,35.792473,27.604744
Asexual/Aromantic/Demisexual,2.607559,5.4203725,34.245064,34.612774,23.114235
Other/Queer/Questioning,2.5247509,5.2620006,33.680103,34.825047,23.708097
Prefer Not to Say,3.0945966,6.3347654,37.192783,33.246883,20.130974
